Annotations,Speaker,Utterance,,,,
,@UTF8,,,,,
,@PID,11312/c-00016056-1,,,,
,@Begin,,,,,
,@Languages,eng,,,,
,@Participants,"BOB Target_Child, CHI Target_Child",,,,
,@Options,multi,,,,
,@ID,eng|Garvey|BOB|4;11.|male|||Target_Child|||,,,,
,@ID,eng|Garvey|CHI|5;00.|male|||Target_Child|||,,,,
,@Types,"cross, group, TD",,,,
POL,*BOB,oh I could drive Katie .,,,,
,%mor,intj|oh pron|I-Prs-Nom-S1 aux|could-Fin-S verb|drive-Inf-S noun|Katie .,,,,
,%gra,1|4|DISCOURSE 2|4|NSUBJ 3|4|AUX 4|5|ROOT 5|4|OBJ 6|4|PUNCT,,,,
,%com,"Bob excited , moves from car , pats Glo , turning wheel . Glo has gone to new bag of clothes",,,,
NOP,*CHI,okay oh a case [= purse] .,,,,
,%mor,intj|okay intj|oh det|a-Ind-Art noun|case .,,,,
,%gra,1|4|DISCOURSE 2|4|DISCOURSE 3|4|DET 4|4|ROOT 5|4|PUNCT,,,,
,%com,Glo has discovered case=purse with enthusiasm,,,,
NOP,*BOB,what ?,,,,
,%mor,pron|what-Int-S1 ?,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*CHI,oh a case and jewelry in it .,,,,
,%mor,intj|oh det|a-Ind-Art noun|case cconj|and noun|jewelry adp|in pron|it-Prs-Acc-S3 .,,,,
,%gra,1|3|DISCOURSE 2|3|DET 3|7|ROOT 4|5|CC 5|3|CONJ 6|7|CASE 7|3|NMOD 8|3|PUNCT,,,,
,%com,Glo takes necklace out of purse,,,,
NOP,*BOB,yeah .,,,,
,%mor,intj|yeah .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*CHI,look Bob .,,,,
,%mor,verb|look-Fin-Imp-S noun|Bob .,,,,
,%gra,1|2|ROOT 2|1|OBJ 3|1|PUNCT,,,,
,%com,"with enthusiasm , holding up necklace Glo puts it on .",,,,
NOP,*BOB,what ?,,,,
,%mor,pron|what-Int-S1 ?,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*CHI,let's play mothers and fathers .,,,,
,%mor,verb|let-Fin-Imp-S~pron|we-Prs-Acc-P1 verb|play-Inf-S noun|mother-Plur cconj|and noun|father-Plur .,,,,
,%gra,1|6|ROOT 2|1|OBJ 3|1|XCOMP 4|3|OBJ 5|6|CC 6|4|CONJ 7|1|PUNCT,,,,
,%com,it seems to trigger,,,,
NOP,*BOB,yeah &~d .,,,,
,%mor,intj|yeah .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
POL,*BOB,I could be a father .,,,,
,%mor,pron|I-Prs-Nom-S1 aux|could-Fin-S aux|be-Inf-S det|a-Ind-Art noun|father .,,,,
,%gra,1|5|NSUBJ 2|5|AUX 3|5|COP 4|5|DET 5|5|ROOT 6|5|PUNCT,,,,
,%com,Bob turns wheel Glo walks around car puts on bracelet,,,,
,%par,<aft> driving noises,,,,
NOP,*CHI,xxx .,,,,
NOP,*BOB,oh I hafta stop there's a red light .,,,,
,%mor,intj|oh pron|I-Prs-Nom-S1 aux|hafta-Fin-Ind-Pres-S1 verb|stop-Inf-S pron|there-Int-S1~verb|be-Fin-Ind-Pres-S3 det|a-Ind-Art adj|red-Pos-S1 noun|light .,,,,
,%gra,1|4|DISCOURSE 2|4|NSUBJ 3|4|AUX 4|9|ROOT 5|6|EXPL 6|4|CCOMP 7|9|DET 8|9|AMOD 9|6|NSUBJ 10|4|PUNCT,,,,
,%com,<aft> no reply made,,,,
NOP,*BOB,now .,,,,
,%mor,adv|now .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%com,<aft> Bob looks around and Glo returns to sack <aft> pause,,,,
NOP,*CHI,know it's just what am I s(up)posed to do .,,,,
,%mor,verb|know-Fin-Imp-S pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adv|just pron|what-Rel-S1 aux|be-Fin-Ind-Pres-S1 pron|I-Prs-Nom-S1 verb|suppose-Part-Past-S part|to verb|do-Inf-S .,,,,
,%gra,1|10|ROOT 2|5|NSUBJ 3|5|COP 4|5|ADVMOD 5|1|CCOMP 6|8|AUX 7|8|NSUBJ 8|5|ACL-RELCL 9|10|MARK 10|8|XCOMP 11|1|PUNCT,,,,
,%com,Glo at sack,,,,
NOP,*CHI,father your hat .,,,,
,%mor,noun|father pron|your-Prs-Gen-S2 noun|hat .,,,,
,%gra,1|3|NMOD-POSS 2|3|NMOD-POSS 3|3|ROOT 4|3|PUNCT,,,,
,%com,"only at now Glo turns to Bob , he smiles watches as she offers hat .",,,,
,%par,<aft> loud,,,,
NOP,*CHI,"oh , it's a new hat .",,,,
,%mor,intj|oh cm|cm pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art adj|new-Pos-S1 noun|hat .,,,,
,%gra,1|7|DISCOURSE 2|7|PUNCT 3|7|NSUBJ 4|7|COP 5|7|DET 6|7|AMOD 7|7|ROOT 8|7|PUNCT,,,,
NOP,*BOB,yeah .,,,,
,%mor,intj|yeah .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
