Polite/Not Polite,Utterances 
NOP,MOT: y ahora empieza otra vez (.) el quince de septiembre a las once y media de la mañana .
NOP,MOT: estamos con Koki en la cama .
NOP,MOT: las dos sentaditas .
NOP,MOT: yo estoy trabajando y escribiendo en un cuaderno .
POL,"MOT: y Koki , qué hace ?"
NOP,CHI: jugando .
NOP,MOT: y Koki está jugando .
POL,MOT: y con qué juega ?
NOP,CHI: (2.5) con [>] +/.
NOP,MOT: con [<] los muñequitos .
NOP,CHI: (2.5) con éstos y éstos .
NOP,MOT: aha .
NOP,CHI: con estos muñequitos y éstos .
POL,MOT: muy bien !
NOP,MOT: <juegue con ésos> [?] .
NOP,CHI: (3.7) &~uuuuuuum .
NOP,CHI: éstos se van en avión .
NOP,CHI: éstos se van en avión .
NOP,CHI: (3.5) ayayay .
NOP,CHI: se pone e [/] éste en avión .
NOP,CHI: éste va así .
NOP,CHI: mire !
NOP,CHI: mire mamá !
NOP,CHI: mire ?
NOP,MOT: a_ver Chiqui .
NOP,MOT: (e)stá paradito en el aire ése !
NOP,MOT: y los demás en el suelo .
NOP,MOT: (4.4) Jim .
XXX,JIM: yeah .
XXX,MOT: [- eng] I need you here for a second .
XXX,JIM: <okay> [?] .
XXX,CHI: (4.) &~pup &~pup &~pup .
NOP,CHI: ayayay !
NOP,CHI: se van a machucar [?] .
NOP,CHI: &~ta: &~ta &~ta .
NOP,CHI: <(e)stá sentadito> [?] .
NOP,CHI: ayayay [>] !
NOP,JIM: <viene [<] el lo:bo> [?] .
NOP,CHI: &~pa &~pa &~pa &~pa .
NOP,JIM: a:y [>] !
NOP,CHI: ayayay [<] !
NOP,CHI: ayayay !
NOP,CHI: ayayay !
NOP,CHI: me voy a ir al pueblo [?] .
XXX,MOT: [- eng] I need you to do the context .
NOP,CHI: (11.5) ayayay .
NOP,CHI: ayayay !
NOP,CHI: me voy a i(r) [//] &~bo [//] me voy a ir ahí iba [=? arriba] .
NOP,CHI: ayayay !
NOP,CHI: <me voy a la isla e(s)ta> [?] .
NOP,CHI: aystá [: ahí está] .
NOP,CHI: (2.2) ahí .
NOP,CHI: me voy a ir por el correo .
NOP,CHI: me voy a ir por el correo .
NOP,CHI: me voy a ir por el correo .
NOP,CHI: me voy a ir por el correo .
NOP,CHI: me voy a ir por el correo .
NOP,CHI: me voy a ir por el correo .
POL,MOT: quién se va a ir por el correo ?
NOP,CHI: ellos .
NOP,CHI: ellos me [//] se van a ir por el correo .
NOP,MOT: los niños de (e)l: [//] (.) de la guagua@d ?
NOP,CHI: <sí> [?] .
NOP,CHI: me voy a ir por el correo .
NOP,CHI: me voy a ir por el correo .
NOP,CHI: me voy a ir por el correo .
NOP,CHI: me voy a ir por el correo &~o .
NOP,CHI: (9.4) me voy a ir por el correo .
NOP,CHI: (3.4) ayayay !
NOP,CHI: (2.) son caballitos ?
NOP,"MOT: no , son niños ."
NOP,"MOT: (4.2) pero , se +..."
POL,CHI: qué [/] qué ?
NOP,MOT: ahí están paraditos .
NOP,MOT: si no se caen .
NOP,"MOT: ay , se cayeron !"
POL,CHI: por qué ?
NOP,MOT: ahí están bien .
NOP,CHI: (12.1) éste [//] con esto se caen .
NOP,MOT: con eso se caen ?
NOP,MOT: no .
NOP,MOT: no se caen .
NOP,"MOT: y no se caen nada , mire ."
NOP,CHI: (3.7) no ?
NOP,MOT: no .
NOP,CHI: (2.7) <b(l)anco ése allá> [?] .
NOP,CHI: acá .
NOP,CHI: b(l)anco está acá .
NOP,MOT: (10.) oops@s !
NOP,CHI: <mire se va caer> [?] .
NOP,CHI: xxx .
NOP,CHI: <lo saco todo esto xxx esto> [?] .
NOP,CHI: (4.5) lo saqué .
NOP,MOT: lo sacó ?
NOP,"CHI: (5.3) <entonces , se va por acá> [?] ."
NOP,CHI: (7.5) &=coughs .
NOP,MOT: ay pobrecita !
NOP,MOT: está con mucha tos „ no ?
NOP,CHI: tú también ?
NOP,MOT: no yo no .
XXX,CHI: &=coughs .
NOP,CHI: tenías .
NOP,MOT: antes tenía un poquito .
XXX,CHI: &=coughs .
NOP,CHI: ya .
NOP,CHI: una casita hice .
XXX,CHI: &=coughs .
NOP,CHI: (5.1) mira acá está el jardinero .
NOP,CHI: de bebitos .
XXX,@New Episode
NOP,MOT: ya volvió la luz .
POL,MOT: (5.5) usted me va a traer una agujita [?] o no ?
NOP,CHI: uh (.) no puedo [= 'kwedo] po [//] mira .
POL,CHI: estaban [?] donde están los libros .
NOP,MOT: no puede ?
NOP,MOT: porque está alto ?
POL,MOT: (2.4) <bueno la> [?] [>] +/.
NOP,CHI: porque [<] Isabel la: a [/] (.) alzó ayer .
NOP,MOT: ah: !
POL,MOT: y usted lo estaba tocando ?
NOP,"CHI: no , estaba mirando ."
POL,MOT: bueno súbase acá .
NOP,MOT: porque si está sin medias no puede estar en el suelo .
NOP,CHI: pero me voy a poner las botas .
NOP,MOT: pero igual (.) no tiene medias .
NOP,MOT: (2.4) a_ver .
NOP,MOT: yo lo traigo para coser [?] .
NOP,CHI: sí .
NOP,CHI: <tú> [?] t(r)aigas .
POL,CHI: (19.8) yo te miro mamá .
NOP,MOT: me va a mirar ?
NOP,CHI: y <voy buscar> [?] un papelito .
NOP,CHI: un &~rebu [//] (.) y voy a buscar el rebocito@d de la Inocenc(i)a [?] .
NOP,MOT: el rebocito@d de la Inocencia ?
NOP,"CHI: sí , lo voy a buscar ."
NOP,MOT: <esto lo necesito para arreglar las medias> [?] .
NOP,CHI: (9.4) no hay .
NOP,MOT: (2.3) <sí sí hay> [?] .
NOP,"MOT: <está por acá , a_ver> [?] ."
NOP,JIM: (7.8) ay .
NOP,CHI: ay .
NOP,JIM: (3.) qué loco está el [/] <el: huevito> [?] „ no ?
NOP,JIM: para coser .
NOP,CHI: sí .
NOP,CHI: un huevito para coser !
XXX,JIM: [- eng] I guess you could use a real egg „ couldn't you ?
XXX,JIM: [- eng] course if you did xxx .
NOP,CHI: <un poco de> [?] +...
POL,JIM: (4.4) qué son ?
NOP,JIM: (3.) ah ah !
NOP,MOT: (7.6) cuidado !
NOP,JIM: no se abren „ eh .
POL,CHI: (4.7) qué son ?
NOP,JIM: son esnaps@s .
NOP,CHI: (es)naps@s .
NOP,CHI: que [//] dicí@n que el papá son en [/] e(s)naps@s .
NOP,MOT: snaps@s ?
NOP,JIM: esnaps@s .
NOP,MOT: snaps@s .
POL,CHI: (1.8) <es eso> [?] mamá ?
NOP,MOT: <es una bombachita> [?] .
NOP,CHI: sí ?
NOP,CHI: de (e)l bebito ?
NOP,CHI: (3.2) es de (e)l bebito mamá ?
NOP,CHI: (2.2) de (e)l bebito ?
POL,"MOT: no , de usted ."
NOP,CHI: <cuando yo era &~cic &~cic> [/] cuando yo era chiquitita ?
NOP,MOT: de ahora .
NOP,CHI: de ahora ?
NOP,MOT: sí .
NOP,MOT: lo único es que está rotita por eso no se la puede poner .
POL,CHI: dónde [= 'nonde] mamá ?
POL,MOT: en dónde está rotita ?
NOP,MOT: le falta el elástico .
NOP,MOT: no tiene elástico .
NOP,CHI: (2.1) por eso .
NOP,MOT: por eso .
NOP,MOT: (9.7) y ve (.) acá tengo la lanita y si usted no me la tira +...
POL,MOT: si usted me la tira yo no puedo coser .
NOP,CHI: no te la voy a tirar .
NOP,MOT: no me la va a tirar ?
POL,MOT: bueno .
NOP,CHI: <hay más> [?] .
POL,CHI: <qué más hay> [?] ?
POL,CHI: qué es esto mamá ?
NOP,MOT: eso es para agujas .
NOP,CHI: (6.6) no sabo@n sacar de ahí ?
NOP,MOT: mhm: .
XXX,MOT: [- eng] are you doing it Jim ?
XXX,MOT: [- eng] (5.2) pull over there .
XXX,MOT: [- eng] about a +...
POL,CHI: (10.7) cómo se ponen las agujas [= a'butas] [//] las agujas [= a'bujas] acá ?
POL,CHI: cómo mamá ?
NOP,MOT: estas chiquititas no .
NOP,MOT: son las agujas más grandes que son para tejer (.) suéteres .
NOP,MOT: éstas son para coser y hay otras agujas para tejer .
NOP,"MOT: entonces si uno quiere saber qué tamaño es la aguja , la pone acá en estos a(g)ujeritos ."
NOP,MOT: y ahí le dice .
NOP,MOT: es tamaño diez .
NOP,MOT: es tamaño once .
NOP,MOT: es tamaño trece .
NOP,MOT: así .
