Polite/Not Polite ,Utterance 
POL,CHI: qué te [/] te despertasteis ?
POL,MOT: porque estaba durmiendo .
POL,CHI: y qué estabas haciendo con ésto ?
NOP,MOT: nada [?] .
NOP,CHI: (2.3) vamos a jugar le [?] y [/] y no vamos a saquer@n [*] éste ?
NOP,CHI: vamos a jugar con éste .
NOP,CHI: y no vamos a sacar a éste ?
POL,MOT: bueno .
NOP,CHI: (3.6) estoy sacando !
NOP,CHI: (2.3) yo estoy sacando !
NOP,MOT: (11.7) y ahora los sabe poner ?
POL,CHI: cómo se hace ?
NOP,MOT: póngalos .
NOP,MOT: como los sacó .
POL,MOT: de dónde lo sacó a ése ?
NOP,CHI: de [/] de [/] de aquí .
NOP,MOT: no .
POL,MOT: dónde estaba ?
NOP,CHI: aquí .
NOP,MOT: no .
POL,MOT: dónde estaba ?
NOP,CHI: (2.7) esos dos juntitos co [//] e [/] en (d)ónde los &~jun [//] estos dos [>] ?
NOP,MOT: <ay se> [<] salieron los otros !
NOP,CHI: (4.1) se salieron los ot(r)os ?
POL,MOT: a_ver dónde estaba éste ?
POL,CHI: (3.4) y éste en (d)ónde estaba ?
NOP,CHI: (4.3) dónde [= 'nonde] estaban &~ak [//] todos estaban este@i eh [/] eh [//] y yo sabo@n hacer éste .
NOP,CHI: (14.4) p(r)imero <su &~l> [/] su (g)lobo [= 'lo~bo] .
NOP,CHI: cómo se hace este@i [//] su (g)lobo &~ko [//] &~e [//] qué &~pa [//] cómo hace &~e &~e [/] el (g)lobo este@i de [/] de él este@i en [/] en (1.8) en [/] en [/] en allá que [//] dónde [= 'nonde] vive su (g)lobo ?
NOP,MOT: no sé .
NOP,CHI: <dónde [= 'nonde] estaban> [/] dónde [= 'nonde] estaban unos payasitos <con &~e [/] el &~lo> [//] con un (g)lobo <y un señor> [>] ?
NOP,MOT: <en el &~mer> [<] +/.
NOP,MOT: en el mercado ?
POL,MOT: yo no sé dónde estaba .
NOP,CHI: estaba este@i en un suelo .
NOP,MOT: en un qué ?
NOP,CHI: <en un sueño> [//] en un suelo .
NOP,CHI: (2.5) en un suelo .
 NOP,CHI: en [>] +/.
POL,MOT: en [<] un suelo ?
NOP,CHI: en un suelo donde estaban diciendo viva@q !
NOP,CHI: (4.6) ahí .
POL,MOT: va a (e)l revés .
NOP,CHI: (4.1) (ah)ora <su &~m> [//] así [= a:'si] .
NOP,CHI: (ah)ora [/] (ah)ora su mariposa aquí .
POL,MOT: muy bien !
POL,MOT: (5.3) ahí está .
POL,MOT: (3.3) ahí está bien .
NOP,MOT: y ahora el otro .
POL,MOT: (5.4) éste lo ponemos acá y usted hace éste .
NOP,CHI: (5.4) eh [//] tú lo hágalo .
NOP,CHI: tú .
POL,"MOT: no , yo la ayudo pero usted lo hace ."
POL,CHI: (2.8) bueno [?] .
NOP,MOT: el sol va a ir acá en el medio .
NOP,MOT: pero primero tenemos que poner las otras cosas .
NOP,MOT: a_ver éste dónde va ?
NOP,CHI: éste aquí .
NOP,MOT: no .
NOP,CHI: aquí .
POL,MOT: no .
NOP,CHI: aquí .
POL,MOT: sí .
NOP,CHI: (2.6) y acá qué va ?
NOP,CHI: (1.7) ot(r)o .
NOP,MOT: (2.1) póngalo [= ponga'lo] .
NOP,CHI: (8.6) y é(s)te dón(d)e [= 'none] va ?
NOP,MOT: (1.8) y fíjese dónde va .
NOP,CHI: aquí .
NOP,MOT: no .
NOP,CHI: aquí .
NOP,MOT: acá hay amarillo .
POL,MOT: dónde hay amarillo ?
NOP,MOT: tiene que ir el amarillo junto con el amarillo .
POL,"MOT: ahí , muy bien !"
NOP,CHI: acá .
NOP,MOT: más alto .
NOP,MOT: (3.) <ahí (es)tá> [?] .
NOP,CHI: y el ot(r)o en (d)ónde va [?] ?
NOP,CHI: (5.8) éste dónde [= 'nonde] va ?
NOP,"MOT: y ver , dónde hay amarillo ?"
NOP,MOT: acá .
NOP,MOT: (en)tonces .
NOP,CHI: (5.4) xxx .
NOP,MOT: (3.) no .
NOP,CHI: en (d)ón(d)e ?
NOP,MOT: ahí (e)stá .
NOP,JIM: xxx .
NOP,CHI: (8.1) y esto ?
POL,"MOT: muy bien , ahí ."
NOP,MOT: póngalo .
NOP,CHI: (5.7) [^ bangs piece in] y ?
NOP,CHI: y éste ?
NOP,CHI: aquí [= a:'ki] para comer el huevito .
NOP,MOT: ahí (e)stá .
POL,MOT: ve cómo lo sabe hacer ?
NOP,CHI: y [?] qué es esta mesa ?
NOP,MOT: es la mesa donde el niño está comiendo el huevito .
XXX,JIM: [- eng] I couldn't find anything except this .
NOP,CHI: (4.4) qué es este huevito ?
